Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,3 nov 2023,00:00,3 nov 2023,23:59,37.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,4 nov 2023,00:00,4 nov 2023,23:59,82.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,5 nov 2023,00:00,5 nov 2023,23:59,82.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,6 nov 2023,00:00,6 nov 2023,23:59,79.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,7 nov 2023,00:00,7 nov 2023,23:59,81.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,8 nov 2023,00:00,8 nov 2023,23:59,81.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,9 nov 2023,00:00,9 nov 2023,23:59,81.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,10 nov 2023,00:00,10 nov 2023,23:59,81.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,11 nov 2023,00:00,11 nov 2023,23:59,76.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,13 nov 2023,00:00,13 nov 2023,23:59,78.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,14 nov 2023,00:00,14 nov 2023,23:59,78.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,15 nov 2023,00:00,15 nov 2023,23:59,74.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,16 nov 2023,00:00,16 nov 2023,23:59,74.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,17 nov 2023,00:00,17 nov 2023,23:59,78.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,18 nov 2023,00:00,18 nov 2023,23:59,80.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,19 nov 2023,00:00,19 nov 2023,23:59,80.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,20 nov 2023,00:00,20 nov 2023,23:59,77.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,21 nov 2023,00:00,21 nov 2023,23:59,78.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,22 nov 2023,00:00,22 nov 2023,23:59,76.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,23 nov 2023,00:00,23 nov 2023,23:59,77.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,27 nov 2023,00:00,27 nov 2023,23:59,82.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,28 nov 2023,00:00,28 nov 2023,23:59,78.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,29 nov 2023,00:00,29 nov 2023,23:59,29.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,30 nov 2023,00:00,30 nov 2023,23:59,80.75,C
